"Date","RHMean"
2020-05-19,62.2819672131148
2020-05-20,45.096875
2020-05-21,62.1597222222222
2020-05-22,89.1597222222222
2020-05-23,80.1
2020-05-24,72.2552083333333
2020-05-25,74.9993055555556
2020-05-26,62.5993055555556
2020-05-27,65.9590277777778
2020-05-28,84.4201388888889
2020-05-29,89.85625
2020-05-30,79.0791666666667
2020-05-31,68.1284722222222
2020-06-01,59.6173611111111
2020-06-02,61.2166666666667
2020-06-03,58.7545138888889
2020-06-04,86.0052083333333
2020-06-05,93.6666666666667
2020-06-06,73.3135416666667
2020-06-07,63.3604166666667
2020-06-08,60.3565972222222
2020-06-09,66.1972222222222
2020-06-10,79.5607638888889
2020-06-11,74.1451388888889
2020-06-12,65.0131944444445
2020-06-13,74.0517361111111
2020-06-14,63.1625
2020-06-15,74.4076388888889
2020-06-16,65.5902777777778
2020-06-17,69.6673611111111
2020-06-18,80.4645833333333
2020-06-19,84.8840277777778
2020-06-20,76.4378472222222
2020-06-21,74.1284722222222
2020-06-22,92.9503472222222
2020-06-23,91.4277777777778
2020-06-24,76.4920138888889
2020-06-25,83.5746527777778
2020-06-26,79.9722222222222
2020-06-27,91.6673611111111
2020-06-28,87.2173611111111
2020-06-29,75.8694444444444
2020-06-30,69.7079861111111
2020-07-01,69.4909722222222
2020-07-02,67.9173611111111
2020-07-03,67.2659722222222
2020-07-04,69.5104166666667
2020-07-05,66.2861111111111
2020-07-06,66.2131944444444
2020-07-07,79.403125
2020-07-08,80.725
2020-07-09,75.4538194444444
2020-07-10,84.0701388888889
2020-07-11,85.0475694444444
2020-07-12,83.0336805555555
2020-07-13,78.4013888888889
2020-07-14,71.2548611111111
2020-07-15,68.7048611111111
2020-07-16,78.85
2020-07-17,75.7197916666667
2020-07-18,70.9822916666667
2020-07-19,75.690625
2020-07-20,73.1673611111111
2020-07-21,83.2479166666667
2020-07-22,89.0114583333333
2020-07-23,93.4336805555556
2020-07-24,79.940625
2020-07-25,74.7888888888889
2020-07-26,74.7111111111111
2020-07-27,82.7850694444444
2020-07-28,77.3763888888889
2020-07-29,72.6402777777778
2020-07-30,86.2934027777778
2020-07-31,69.6395833333333
2020-08-01,88.553125
2020-08-02,94.5461805555556
2020-08-03,90.240625
2020-08-04,94.884375
2020-08-05,80.015625
2020-08-06,73.7336805555556
2020-08-07,72.2152777777778
2020-08-08,74.3545138888889
2020-08-09,75.1142361111111
2020-08-10,73.7371527777778
2020-08-11,76.3895833333333
2020-08-12,78.9003472222222
2020-08-13,68.9170138888889
2020-08-14,68.3229166666667
2020-08-15,82.6847222222222
2020-08-16,84.7003472222222
2020-08-17,84.33125
2020-08-18,78.1145833333333
2020-08-19,67.9340277777778
2020-08-20,62.7013888888889
2020-08-21,66.2548611111111
2020-08-22,73.7652777777778
2020-08-23,79.0145833333333
2020-08-24,78.6555555555556
2020-08-25,78.2864583333333
2020-08-26,84.6524305555556
2020-08-27,86.1145833333333
2020-08-28,96.9173611111111
2020-08-29,88.1072916666667
2020-08-30,79.3611111111111
2020-08-31,86.7413194444444
2020-09-01,86.5920138888889
2020-09-02,93.9673611111111
2020-09-03,94.2409722222222
2020-09-04,73.2020833333333
2020-09-05,70.7246527777778
2020-09-06,72.1534722222222
2020-09-07,85.3222222222222
2020-09-08,83.9347222222222
2020-09-09,82.4899305555556
2020-09-10,87.9055555555556
2020-09-11,89.8427083333333
2020-09-12,87.8649305555556
2020-09-13,91.253125
2020-09-14,82.0027777777778
2020-09-15,76.8319444444444
2020-09-16,83.4649305555556
2020-09-17,90.5684027777778
2020-09-18,75.9951388888889
2020-09-19,65.6256944444444
2020-09-20,63.7461805555556
2020-09-21,63.8788194444444
2020-09-22,71.0434027777778
2020-09-23,73.9864583333333
2020-09-24,82.19375
2020-09-25,80.6982638888889
2020-09-26,81.9836805555556
2020-09-27,83.5489583333333
2020-09-28,84.5614583333333
2020-09-29,93.8569444444445
2020-09-30,86.9138888888889
2020-10-01,81.1447916666667
2020-10-02,80.9506944444445
2020-10-03,79.3104166666667
2020-10-04,77.9017361111111
2020-10-05,86.4857638888889
2020-10-06,77.0135416666667
2020-10-07,63.5579861111111
2020-10-08,74.2069444444444
2020-10-09,65.0361111111111
2020-10-10,84.865625
2020-10-11,96.9253472222222
2020-10-12,87.0024305555555
2020-10-13,75.2052083333333
2020-10-14,68.1895833333333
2020-10-15,73.2965277777778
2020-10-16,74.0729166666667
2020-10-17,61.6680555555556
2020-10-18,64.0302083333333
2020-10-19,91.1694444444445
2020-10-20,99.4354166666667
2020-10-21,95.2739583333333
2020-10-22,80.6482638888889
2020-10-23,76.9045138888889
2020-10-24,86.69375
2020-10-25,83.1635416666667
2020-10-26,96.8586805555556
2020-10-27,96.5041666666667
2020-10-28,97.3708333333333
2020-10-29,99.6114583333333
2020-10-30,89.7163194444445
2020-10-31,78.7840277777778
2020-11-01,72.2756944444444
2020-11-02,61.4121527777778
2020-11-03,49.8628472222222
2020-11-04,51.0402777777778
2020-11-05,51.665625
2020-11-06,61.0472222222222
2020-11-07,57.9614583333333
2020-11-08,52.3868055555556
2020-11-09,61.9993055555556
2020-11-10,67.0399305555556
2020-11-11,87.3138888888889
2020-11-12,74.8559027777778
2020-11-13,72.0784722222222
2020-11-14,71.565625
2020-11-15,66.2823170731707
